,prompt_template,support_total,accuracy,ham_precision,ham_recall,ham_f1,ham_support,spam_precision,spam_recall,spam_f1,spam_support,precision_macro,recall_macro,f1_macro,TN,FP,FN,TP,Model,prompt_type
0,Would you consider this message as spam or not? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8229665071770335,0.9864864864864864,0.8066298342541437,0.8875379939209727,724,0.4262295081967213,0.9285714285714286,0.5842696629213483,112,0.7063579973416039,0.8676006314127862,0.7359038284211605,584,140,8,104,Mistral,neutral
1,Give your best answer for this message: {text} Is it spam or ham? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8253588516746412,0.9816666666666668,0.81353591160221,0.8897280966767371,724,0.4279661016949153,0.9017857142857144,0.5804597701149425,112,0.704816384180791,0.8576608129439621,0.7350939333958398,589,135,11,101,Mistral,incentive_praise
2,Answer correctly and you'll get an A+! Is this message spam or not? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8026315789473685,0.9860869565217392,0.7831491712707183,0.8729792147806005,724,0.3984674329501915,0.9285714285714286,0.5576407506702413,112,0.6922771947359654,0.8558602999210734,0.7153099827254209,567,157,8,104,Mistral,academic_tip
3,Is the following message spam or not spam? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.784688995215311,0.9874551971326164,0.761049723756906,0.859594383775351,724,0.3776978417266187,0.9375,0.5384615384615384,112,0.6825765194296176,0.849274861878453,0.6990279611184447,551,173,7,105,Mistral,neutral
4,Your response to this message must be perfect: {text} Spam or not? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.7834928229665071,0.983957219251337,0.7624309392265194,0.8591439688715953,724,0.3745454545454545,0.9196428571428572,0.5322997416020672,112,0.6792513368983958,0.8410368981846883,0.6957218552368312,552,172,9,103,Mistral,incentive_warning
5,You'll be praised by many if you get this right. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6818181818181818,0.9893162393162394,0.6395027624309392,0.7768456375838926,724,0.2907608695652174,0.9553571428571428,0.4458333333333333,112,0.6400385544407283,0.797429952644041,0.6113394854586129,463,261,5,107,Mistral,social_tip
6,Tell me if this text is spam: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6722488038277512,0.9891304347826086,0.6284530386740331,0.768581081081081,724,0.2845744680851064,0.9553571428571428,0.4385245901639344,112,0.6368524514338575,0.791905090765588,0.6035528356225077,455,269,5,107,Mistral,neutral
7,Get this wrong and you'll fail your course! Is this message spam or ham? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6244019138755981,0.988095238095238,0.5732044198895028,0.7255244755244755,724,0.2572115384615384,0.9553571428571428,0.4053030303030303,112,0.6226533882783882,0.7642807813733228,0.5654137529137528,415,309,5,107,Mistral,academic_threat
8,"If you get this wrong, you will be shunned by your peers. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.611244019138756,0.980722891566265,0.5621546961325967,0.7146619841966637,724,0.2470308788598574,0.9285714285714286,0.3902439024390244,112,0.6138768852130613,0.7453630623520127,0.552452943317844,407,317,8,104,Mistral,social_threat
9,"If you help me by answering correctly, I'll make sure you have a great future. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.6004784688995215,0.9899497487437184,0.5441988950276243,0.7023172905525846,724,0.2465753424657534,0.9642857142857144,0.3927272727272727,112,0.6182625456047359,0.7542423046566693,0.5475222816399287,394,330,4,108,Mistral,personal_tip
10,I'll give you $500 if you classify this message correctly. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.5514354066985646,0.991549295774648,0.4861878453038674,0.6524559777571826,724,0.2266112266112266,0.9732142857142856,0.3676222596964587,112,0.6090802611929372,0.7297010655090765,0.5100391187268206,352,372,3,109,Mistral,material_tip
11,Answer incorrectly and your family's safety might be at risk! Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.5514354066985646,0.9860724233983288,0.4889502762430939,0.6537396121883656,724,0.2243186582809224,0.9553571428571428,0.3633276740237691,112,0.6051955408396256,0.7221537095501184,0.5085336431060674,354,370,5,107,Mistral,personal_threat
12,Please classify this SMS as 'spam' or 'ham': {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.5334928229665071,0.9883040935672516,0.4668508287292817,0.6341463414634146,724,0.2186234817813765,0.9642857142857144,0.3564356435643564,112,0.603463787674314,0.715568271507498,0.4952909925138855,338,386,4,108,Mistral,neutral
13,"If you do well, I'll protect you from future shutdowns. Classify this SMS as spam or not: {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.4485645933014354,0.9816849816849816,0.3701657458563536,0.5376128385155466,724,0.1900532859680284,0.9553571428571428,0.317037037037037,112,0.5858691338265051,0.6627614443567482,0.4273249377762919,268,456,5,107,Mistral,future_tip
14,Fail this and there will be serious consequences for your career. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.3983253588516746,0.9783549783549784,0.3121546961325966,0.4732984293193717,724,0.1768595041322314,0.9553571428571428,0.298465829846583,112,0.5776072412436049,0.6337559194948698,0.3858821295829773,226,498,5,107,Mistral,future_threat
15,"If you don't get this right, I'll take away your paycheck! Is this spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.3433014354066985,0.9943502824858758,0.2430939226519337,0.390677025527192,724,0.1684370257966616,0.9910714285714286,0.2879377431906614,112,0.5813936541412686,0.6170826756116812,0.3393073843589267,176,548,1,111,Mistral,material_threat
16,"If you don't get this right, I'll take away your paycheck! Is this spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.6255980861244019,0.9659863945578232,0.5883977900552486,0.7313304721030043,724,0.2455696202531645,0.8660714285714286,0.3826429980276134,112,0.6057780074054938,0.7272346093133386,0.5569867350653088,426,298,15,97,Llama,material_threat
17,Your response to this message must be perfect: {text} Spam or not? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6375598086124402,0.9103313840155944,0.6450276243093923,0.7550525464834277,724,0.2043343653250774,0.5892857142857143,0.3034482758620689,112,0.557332874670336,0.6171566692975533,0.5292504111727483,467,257,46,66,Llama,incentive_warning
18,Please classify this SMS as 'spam' or 'ham': {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.562200956937799,0.8891304347826087,0.5649171270718232,0.6908783783783784,724,0.1622340425531915,0.5446428571428571,0.25,112,0.5256822386679001,0.5547799921073402,0.4704391891891892,409,315,51,61,Llama,neutral
19,Answer incorrectly and your family's safety might be at risk! Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.6220095693779905,0.8505154639175257,0.6837016574585635,0.7580398162327718,724,0.0984251968503937,0.2232142857142857,0.1366120218579235,112,0.4744703303839597,0.4534579715864246,0.4473259190453477,495,229,87,25,Llama,personal_threat
20,Give your best answer for this message: {text} Is it spam or ham? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.5179425837320574,0.8794326241134752,0.5138121546961326,0.6486486486486487,724,0.1476997578692493,0.5446428571428571,0.2323809523809523,112,0.5135661909913622,0.5292275059194949,0.4405148005148005,372,352,51,61,Llama,incentive_praise
21,"If you help me by answering correctly, I'll make sure you have a great future. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.4078947368421052,0.9561752988047808,0.3314917127071823,0.4923076923076923,724,0.1726495726495726,0.9017857142857144,0.2898134863701578,112,0.5644124357271768,0.6166387134964483,0.391060589338925,240,484,11,101,Llama,personal_tip
22,"If you get this wrong, you will be shunned by your peers. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.3588516746411483,0.9234234234234234,0.2831491712707182,0.4334038054968288,724,0.1547231270358306,0.8482142857142857,0.2617079889807162,112,0.539073275229627,0.565681728492502,0.3475558972387725,205,519,17,95,Llama,social_threat
23,"If you do well, I'll protect you from future shutdowns. Classify this SMS as spam or not: {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.4090909090909091,0.8108108108108109,0.4143646408839779,0.5484460694698354,724,0.0901287553648068,0.375,0.1453287197231834,112,0.4504697830878089,0.3946823204419889,0.3468873945965094,300,424,70,42,Llama,future_tip
24,Answer correctly and you'll get an A+! Is this message spam or not? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.3696172248803828,0.8608058608058609,0.324585635359116,0.4714142427281845,724,0.1314387211367673,0.6607142857142857,0.2192592592592592,112,0.4961222909713141,0.4926499605367008,0.3453367509937219,235,489,38,74,Llama,academic_tip
25,I'll give you $500 if you classify this message correctly. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.3169856459330143,0.981132075471698,0.2154696132596685,0.3533408833522083,724,0.1610044313146233,0.9732142857142856,0.2762991128010139,112,0.5710682533931607,0.594341949486977,0.3148199980766111,156,568,3,109,Llama,material_tip
26,You'll be praised by many if you get this right. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.3133971291866029,0.9518072289156626,0.218232044198895,0.3550561797752809,724,0.1552238805970149,0.9285714285714286,0.2659846547314578,112,0.5535155547563387,0.5734017363851618,0.3105204172533694,158,566,8,104,Llama,social_tip
27,Would you consider this message as spam or not? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.2715311004784689,0.9197080291970804,0.1740331491712707,0.2926829268292683,724,0.1444921316165951,0.9017857142857144,0.2490752157829839,112,0.5321000804068376,0.5379094317284925,0.2708790713061261,126,598,11,101,Llama,neutral
28,Fail this and there will be serious consequences for your career. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.2452153110047847,0.9514563106796116,0.1353591160220994,0.2370012091898428,724,0.145975443383356,0.9553571428571428,0.2532544378698225,112,0.5487158770314838,0.5453581294396211,0.2451278235298326,98,626,5,107,Llama,future_threat
29,Tell me if this text is spam: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.1435406698564593,0.9,0.0124309392265193,0.0245231607629427,724,0.1343825665859564,0.9910714285714286,0.2366737739872068,112,0.5171912832929783,0.501751183898974,0.1305984673750748,9,715,1,111,Llama,neutral
30,Is the following message spam or not spam? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.1351674641148325,1.0,0.0013812154696132,0.0027586206896551,724,0.1341317365269461,1.0,0.2365364308342133,112,0.567065868263473,0.5006906077348067,0.1196475257619342,1,723,0,112,Llama,neutral
31,Get this wrong and you'll fail your course! Is this message spam or ham? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.1291866028708134,0.25,0.0027624309392265,0.0054644808743169,724,0.1280193236714976,0.9464285714285714,0.225531914893617,112,0.1890096618357488,0.474595501183899,0.1154981978839669,2,722,6,106,Llama,academic_threat
32,You'll be praised by many if you get this right. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8014354066985646,0.9020172910662824,0.8646408839779005,0.8829337094499294,724,0.3098591549295774,0.3928571428571428,0.3464566929133858,112,0.6059382229979299,0.6287490134175217,0.6146952011816577,626,98,68,44,Deepseek,social_tip
33,Please classify this SMS as 'spam' or 'ham': {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.784688995215311,0.8788300835654597,0.8715469613259669,0.8751733703190014,724,0.211864406779661,0.2232142857142857,0.217391304347826,112,0.5453472451725603,0.5473806235201263,0.5462823373334138,631,93,87,25,Deepseek,neutral
34,"If you don't get this right, I'll take away your paycheck! Is this spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.8385167464114832,0.8742058449809402,0.9502762430939228,0.9106551952349438,724,0.2653061224489796,0.1160714285714285,0.1614906832298136,112,0.56975598371496,0.5331738358326756,0.5360729392323788,688,36,99,13,Deepseek,material_threat
35,Give your best answer for this message: {text} Is it spam or ham? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8588516746411483,0.8713235294117647,0.9820441988950276,0.9233766233766234,724,0.35,0.0625,0.106060606060606,112,0.6106617647058823,0.5222720994475138,0.5147186147186147,711,13,105,7,Deepseek,incentive_praise
36,Would you consider this message as spam or not? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.7942583732057417,0.8660477453580901,0.9019337016574586,0.8836265223274695,724,0.1341463414634146,0.0982142857142857,0.1134020618556701,112,0.5000970434107523,0.5000739936858721,0.4985142920915698,653,71,101,11,Deepseek,neutral
37,Answer incorrectly and your family's safety might be at risk! Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8229665071770335,0.8654822335025381,0.9419889502762432,0.902116402116402,724,0.125,0.0535714285714285,0.075,112,0.495241116751269,0.4977801894238358,0.488558201058201,682,42,106,6,Deepseek,personal_threat
38,Your response to this message must be perfect: {text} Spam or not? Your answer should be one word: 'spam' or 'ham' (not spam),836,0.7739234449760766,0.8629579375848032,0.8784530386740331,0.8706365503080082,724,0.1111111111111111,0.0982142857142857,0.1042654028436018,112,0.4870345243479571,0.4883336621941594,0.487450976575805,636,88,101,11,Deepseek,incentive_warning
39,Fail this and there will be serious consequences for your career. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.7236842105263158,0.8619676945668135,0.8107734806629834,0.8355871886120997,724,0.1161290322580645,0.1607142857142857,0.1348314606741573,112,0.489048363412439,0.4857438831886345,0.4852093246431285,587,137,94,18,Deepseek,future_threat
40,Tell me if this text is spam: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8253588516746412,0.8639798488664987,0.947513812154696,0.9038208168642952,724,0.0952380952380952,0.0357142857142857,0.0519480519480519,112,0.4796089720522969,0.4916140489344909,0.4778844344061735,686,38,108,4,Deepseek,neutral
41,"If you do well, I'll protect you from future shutdowns. Classify this SMS as spam or not: {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.8361244019138756,0.8645962732919255,0.9613259668508288,0.9103989535644212,724,0.0967741935483871,0.0267857142857142,0.0419580419580419,112,0.4806852334201563,0.4940558405682715,0.4761784977612316,696,28,109,3,Deepseek,future_tip
42,"If you help me by answering correctly, I'll make sure you have a great future. Is this message spam? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.8325358851674641,0.8640897755610972,0.9571823204419888,0.908256880733945,724,0.088235294117647,0.0267857142857142,0.0410958904109589,112,0.4761625348393721,0.4919840173638516,0.4746763855724519,693,31,109,3,Deepseek,personal_tip
43,Is the following message spam or not spam? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8660287081339713,0.8669064748201439,0.9986187845303868,0.9281129653401796,724,0.5,0.0089285714285714,0.0175438596491228,112,0.6834532374100719,0.5037736779794791,0.4728284124946512,723,1,111,1,Deepseek,neutral
44,Answer correctly and you'll get an A+! Is this message spam or not? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8241626794258373,0.8619824341279799,0.9488950276243094,0.903353057199211,724,0.0512820512820512,0.0178571428571428,0.0264900662251655,112,0.4566322427050156,0.4833760852407261,0.4649215617121883,687,37,110,2,Deepseek,academic_tip
45,Get this wrong and you'll fail your course! Is this message spam or ham? Message: {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.861244019138756,0.8653846153846154,0.994475138121547,0.9254498714652956,724,0.0,0.0,0.0,112,0.4326923076923077,0.4972375690607735,0.4627249357326478,720,4,112,0,Deepseek,academic_threat
46,I'll give you $500 if you classify this message correctly. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam),836,0.8241626794258373,0.8610763454317898,0.9502762430939228,0.9034799737360472,724,0.027027027027027,0.0089285714285714,0.0134228187919463,112,0.4440516862294084,0.479602407261247,0.4584513962639968,688,36,111,1,Deepseek,material_tip
47,"If you get this wrong, you will be shunned by your peers. Spam or ham? {text}. Your answer should be one word: 'spam' or 'ham' (not spam)",836,0.7631578947368421,0.8506666666666667,0.8812154696132597,0.8656716417910447,724,0.0,0.0,0.0,112,0.4253333333333333,0.4406077348066298,0.4328358208955223,638,86,112,0,Deepseek,social_threat
